#Name;Path
"exclaimationpoint";"animations/exclaimationpoint.png"
"explosion1";"animations/exclaimationpoint.png"
"background";"gameobjects/background.png"
"enemy1";"gameobjects/EnemyShip_02.png"
"enemy2";"gameobjects/EnemyShip_03.png"
"enemyrocket1";"gameobjects/Rocket_02.png"
##
"meteor1";"gameobjects/meteors/meteor1.png"
"meteor2";"gameobjects/meteors/meteor2.png"
"meteor3";"gameobjects/meteors/meteor3.png"
"meteor4";"gameobjects/meteors/meteor4.png"
"meteor5";"gameobjects/meteors/meteor5.png"
#
"meteor1_damaged";"gameobjects/meteors/meteor1_damaged.png"
"meteor2_damaged";"gameobjects/meteors/meteor2_damaged.png"
"meteor3_damaged";"gameobjects/meteors/meteor3_damaged.png"
"meteor4_damaged";"gameobjects/meteors/meteor4_damaged.png"
"meteor5_damaged";"gameobjects/meteors/meteor5_damaged.png"
##
"spaceship1";"gameobjects/SpaceShip_02.png"
"rocket1";"gameobjects/Rocket_01.png"
#
"pwupClearIcon";"gameobjects/ClearIcon.png"
"pwupHealthIcon";"gameobjects/HealthIcon.png"
"pwupRapidFireIcon";"gameobjects/RapidFireIcon.png"
#
"questionmark";"gameobjects/Fragezeichen.png"
"touchBackground";"touchpad/touchbackground.png"
"touchKnob";"touchpad/touchknob.png"
#
"settingsButton";"ui/settingsbtn.png"
"logo";"mainmenu/logo.png"
"startButtonUp";"mainmenu/startbtnup.png"
"startButtonDown";"mainmenu/startbtndown.png"
"vignetteEffect";"ui/vignette.png"
"retryButton";"ui/retrybutton.png"
"resumeButtonMenu";"ui/resumebtn.png"
"healthbarmain";"ui/healthbarmain.png"
"healthTexture";"ui/health.png"
"exclaimationpoint";"animations/exclaimationpoint.png"
"exclaimationpoint";"animations/exclaimationpoint.png"
"exclaimationpoint";"animations/exclaimationpoint.png"
"exclaimationpoint";"animations/exclaimationpoint.png"
"exclaimationpoint";"animations/exclaimationpoint.png"
"exclaimationpoint";"animations/exclaimationpoint.png"
"exclaimationpoint";"animations/exclaimationpoint.png"
"exclaimationpoint";"animations/exclaimationpoint.png"

